id	display_name	category	method	identifier	executables	homepage	source_repository	license	needs_root	network_service	requires_docker	gui	update_method	verification_command	profile	notes_or_conflicts
hashid	hashID	passwords	apt	hashid	hashid	https://github.com/psypanda/hashID	https://github.com/psypanda/hashID	GPL-3.0	false	false	false	false	apt	hashid --help	standard	-
hash-identifier	Hash Identifier	passwords	manual	hash-identifier	hash-identifier	https://www.kali.org/tools/hash-identifier	https://gitlab.com/kalilinux/packages/hash-identifier	GPL-3.0	false	false	false	false	manual	hash-identifier --help	full	Not packaged in Debian 13; no Kali package is imported
crunch	Crunch	passwords	apt	crunch	crunch	https://sourceforge.net/projects/crunch-wordlist	https://sourceforge.net/projects/crunch-wordlist	GPL-2.0	false	false	false	false	apt	crunch -h	standard	Generated lists can consume substantial disk
cewl	CeWL	passwords	apt	cewl	cewl	https://digi.ninja/projects/cewl.php	https://github.com/digininja/CeWL	GPL-3.0	false	false	false	false	apt	cewl --version	standard	-
rsmangler	RSMangler	passwords	manual	rsmangler	rsmangler	https://digi.ninja/projects/rsmangler.php	https://github.com/digininja/RSMangler	GPL-3.0	false	false	false	false	manual	rsmangler --help	standard	Not packaged in Trixie; manual source review required
hashcat-utils	Hashcat Utils	passwords	manual	hashcat-utils	cap2hccapx	https://hashcat.net/wiki/doku.php?id=hashcat_utils	https://github.com/hashcat/hashcat-utils	MIT	false	false	false	false	manual	cap2hccapx --help	full	Not packaged in Trixie; manual source build only
fcrackzip	fcrackzip	passwords	apt	fcrackzip	fcrackzip	https://oldhome.schmorp.de/marc/fcrackzip.html	https://github.com/hyc/fcrackzip	GPL-2.0	false	false	false	false	apt	fcrackzip --version	full	-
pdfcrack	PDFCrack	passwords	apt	pdfcrack	pdfcrack	https://pdfcrack.sourceforge.net	https://gitlab.com/pdfcrack/pdfcrack	GPL-2.0	false	false	false	false	apt	pdfcrack --version	full	-
rarcrack	RarCrack	passwords	apt	rarcrack	rarcrack	https://github.com/ziman/rarcrack	https://github.com/ziman/rarcrack	GPL-2.0	false	false	false	false	apt	rarcrack --help	full	Installed only if present in configured Debian repositories
ophcrack	Ophcrack	passwords	apt	ophcrack	ophcrack	https://ophcrack.sourceforge.io	https://sourceforge.net/projects/ophcrack	GPL-2.0	false	false	false	true	apt	ophcrack -h	full	Tables are not downloaded automatically
metasploit	Metasploit Framework	exploitation	manual	metasploit	msfconsole	https://www.metasploit.com	https://github.com/rapid7/metasploit-framework	BSD-3-Clause	false	optional	false	false	vendor	msfconsole --version	optional	Official Rapid7 installer only; database not initialized automatically
searchsploit	Exploit-DB SearchSploit	exploitation	manual	searchsploit	searchsploit	https://www.exploit-db.com/searchsploit	https://gitlab.com/exploit-database/exploitdb	ExploitDB	false	false	false	false	git	searchsploit -h	full	Distribution license applies; controlled clone only
pwntools	pwntools	exploitation	pipx	pwntools	pwn	https://pwntools.com	https://github.com/Gallopsled/pwntools	MIT	false	optional	false	false	pipx	pwn version	standard	-
ropper	Ropper	exploitation	pipx	ropper	ropper	https://scoding.de/ropper	https://github.com/sashs/Ropper	BSD-3-Clause	false	false	false	false	pipx	ropper --version	standard	-
ropgadget	ROPgadget	exploitation	pipx	ropgadget	ROPgadget	https://shell-storm.org/project/ROPgadget	https://github.com/JonathanSalwan/ROPgadget	BSD-3-Clause	false	false	false	false	pipx	ROPgadget --version	standard	-
one-gadget	one_gadget	exploitation	manual	one-gadget	one_gadget	https://github.com/david942j/one_gadget	https://github.com/david942j/one_gadget	MIT	false	false	false	false	gem	one_gadget --version	full	Ruby gem installation is explicit
gef	GEF	exploitation	manual	gef	gef	https://hugsy.github.io/gef	https://github.com/hugsy/gef	MIT	false	false	false	false	git	manual	optional	Mutates GDB user config; explicit choice only
pwndbg	pwndbg	exploitation	manual	pwndbg	pwndbg	https://pwndbg.re	https://github.com/pwndbg/pwndbg	MIT	false	false	false	false	git	manual	optional	Alternative to GEF; never install both automatically
radare2	radare2	exploitation	manual	radare2	r2	https://rada.re/n	https://github.com/radareorg/radare2	LGPL-3.0	false	false	false	false	manual	r2 -v	full	Manual due Debian package availability and source churn
rizin	Rizin	exploitation	manual	rizin	rizin	https://rizin.re	https://github.com/rizinorg/rizin	LGPL-3.0	false	false	false	false	manual	rizin -v	optional	Alternative to radare2
binwalk	Binwalk	exploitation	apt	binwalk	binwalk	https://github.com/ReFirmLabs/binwalk	https://github.com/ReFirmLabs/binwalk	MIT	false	false	false	false	apt	binwalk --help	standard	Debian package version may lag upstream
patchelf	patchelf	exploitation	apt	patchelf	patchelf	https://github.com/NixOS/patchelf	https://github.com/NixOS/patchelf	GPL-3.0	false	false	false	false	apt	patchelf --version	standard	-
strace	strace	exploitation	apt	strace	strace	https://strace.io	https://github.com/strace/strace	LGPL-2.1+	false	false	false	false	apt	strace --version	standard	Attaching to other users requires privileges
ltrace	ltrace	exploitation	apt	ltrace	ltrace	https://www.ltrace.org	https://gitlab.com/cespedes/ltrace	GPL-2.0	false	false	false	false	apt	ltrace --version	standard	-
ghidra	Ghidra	reverse-engineering	manual	ghidra	ghidraRun	https://ghidra-sre.org	https://github.com/NationalSecurityAgency/ghidra	Apache-2.0	false	false	false	true	manual	ghidraRun	optional	Large official archive; checksum and license review required
jadx	JADX	reverse-engineering	manual	jadx	jadx,jadx-gui	https://github.com/skylot/jadx	https://github.com/skylot/jadx	Apache-2.0	false	false	false	true	manual	jadx --version	full	Verified upstream archive only
apktool	Apktool	reverse-engineering	apt	apktool	apktool	https://apktool.org	https://github.com/iBotPeaches/Apktool	Apache-2.0	false	false	false	false	apt	apktool --version	standard	-
adb	Android Debug Bridge	reverse-engineering	apt	adb	adb	https://developer.android.com/tools/adb	https://android.googlesource.com/platform/packages/modules/adb	Apache-2.0	false	optional	false	false	apt	adb version	standard	Server starts only when operator invokes adb
fastboot	Fastboot	reverse-engineering	apt	fastboot	fastboot	https://developer.android.com/tools/releases/platform-tools	https://android.googlesource.com/platform/system/core	Apache-2.0	true	false	false	false	apt	fastboot --version	full	USB permissions may need explicit configuration
smali	Smali Baksmali	reverse-engineering	apt	libsmali-java	smali,baksmali	https://github.com/JesusFreke/smali	https://github.com/JesusFreke/smali	BSD-3-Clause	false	false	false	false	apt	smali --version	full	Debian package may expose JARs rather than wrappers
frida-tools	Frida Tools	reverse-engineering	pipx	frida-tools	frida	https://frida.re	https://github.com/frida/frida-tools	wxWindows	false	optional	false	false	pipx	frida --version	standard	Target-side server is not installed
objection	Objection	reverse-engineering	pipx	objection	objection	https://github.com/sensepost/objection	https://github.com/sensepost/objection	GPL-3.0	false	false	false	false	pipx	objection version	standard	-
cutter	Cutter	reverse-engineering	manual	cutter	cutter	https://cutter.re	https://github.com/rizinorg/cutter	GPL-3.0	false	false	false	true	manual	cutter --version	optional	Large GUI and Rizin version coupling
gdb-multiarch	GDB multiarch	reverse-engineering	apt	gdb-multiarch	gdb-multiarch	https://www.gnu.org/software/gdb	https://sourceware.org/git/binutils-gdb.git	GPL-3.0+	false	false	false	false	apt	gdb-multiarch --version	standard	-
binutils-multiarch	Binutils multiarch	reverse-engineering	apt	binutils-multiarch	objdump	https://www.gnu.org/software/binutils	https://sourceware.org/git/binutils-gdb.git	GPL-3.0+	false	false	false	false	apt	dpkg -s binutils-multiarch	full	Overlays selected binutils alternatives
qemu-user	QEMU user emulation	reverse-engineering	apt	qemu-user	qemu-x86_64	https://www.qemu.org	https://gitlab.com/qemu-project/qemu	GPL-2.0	false	false	false	false	apt	qemu-x86_64 --version	full	-
qemu-user-static	QEMU static user emulation	reverse-engineering	apt	qemu-user-static	qemu-aarch64-static	https://www.qemu.org	https://gitlab.com/qemu-project/qemu	GPL-2.0	true	false	false	false	apt	qemu-aarch64-static --version	full	May register binfmt handlers via package configuration
exiftool	ExifTool	reverse-engineering	apt	libimage-exiftool-perl	exiftool	https://exiftool.org	https://github.com/exiftool/exiftool	Artistic-1.0	false	false	false	false	apt	exiftool -ver	standard	-
sleuthkit	The Sleuth Kit	forensics	apt	sleuthkit	fls	https://www.sleuthkit.org/sleuthkit	https://github.com/sleuthkit/sleuthkit	CPL-1.0	false	false	false	false	apt	fls -V	standard	-
autopsy	Autopsy 2	forensics	apt	autopsy	autopsy	https://www.sleuthkit.org/autopsy	https://salsa.debian.org/debian/autopsy	GPL-2.0	false	optional	false	true	apt	dpkg -s autopsy	full	Debian package is legacy Autopsy 2
volatility3	Volatility 3	forensics	pipx	volatility3	vol	https://volatilityfoundation.org	https://github.com/volatilityfoundation/volatility3	VSL-1.0	false	false	false	false	pipx	vol --help	standard	Symbols download only when operator requests analysis
yara	YARA	forensics	apt	yara	yara	https://virustotal.github.io/yara	https://github.com/VirusTotal/yara	BSD-3-Clause	false	false	false	false	apt	yara --version	standard	-
yara-x	YARA-X	forensics	manual	yara-x	yrx	https://virustotal.github.io/yara-x	https://github.com/VirusTotal/yara-x	BSD-3-Clause	false	false	false	false	manual	yrx --version	optional	Optional while upstream stabilizes
bulk-extractor	Bulk Extractor	forensics	manual	bulk-extractor	bulk_extractor	https://github.com/simsong/bulk_extractor	https://github.com/simsong/bulk_extractor	MIT	false	false	false	false	manual	bulk_extractor -V	full	Not packaged in Trixie; manual source build only
foremost	Foremost	forensics	apt	foremost	foremost	https://foremost.sourceforge.net	https://github.com/korczis/foremost	Public-domain	false	false	false	false	apt	foremost -V	standard	-
scalpel	Scalpel	forensics	apt	scalpel	scalpel	https://github.com/sleuthkit/scalpel	https://github.com/sleuthkit/scalpel	Apache-2.0	false	false	false	false	apt	scalpel -V	full	-
testdisk	TestDisk and PhotoRec	forensics	apt	testdisk	testdisk,photorec	https://www.cgsecurity.org	https://git.cgsecurity.org/cgit/testdisk	GPL-2.0+	false	false	false	false	apt	testdisk /version	standard	Interactive disk tools
sqlite3	SQLite CLI	forensics	apt	sqlite3	sqlite3	https://sqlite.org	https://github.com/sqlite/sqlite	Public-domain	false	false	false	false	apt	sqlite3 --version	standard	-
plaso	Plaso log2timeline	forensics	apt	plaso	log2timeline.py	https://plaso.readthedocs.io	https://github.com/log2timeline/plaso	Apache-2.0	false	false	false	false	apt	log2timeline.py --version	full	Large dependency set
chainsaw	Chainsaw	forensics	manual	chainsaw	chainsaw	https://github.com/WithSecureLabs/chainsaw	https://github.com/WithSecureLabs/chainsaw	GPL-3.0	false	false	false	false	manual	chainsaw --version	full	Verified upstream binary required
hayabusa	Hayabusa	forensics	manual	hayabusa	hayabusa	https://github.com/Yamato-Security/hayabusa	https://github.com/Yamato-Security/hayabusa	AGPL-3.0	false	false	false	false	manual	hayabusa --version	full	Verified upstream binary required
